no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,Meal Plan 1,0,Room_Type 1,224,2017,10,2,Offline,0,0,0,65,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,5,2018,11,6,Online,0,0,0,106.68,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100,0,Canceled
3,0,0,3,Not Selected,0,Room_Type 1,277,2019,7,13,Online,0,0,0,89.1,2,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,48,2018,4,11,Online,0,0,0,94.5,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,38,2019,6,20,Online,0,0,0,160,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,0,0,0,107.55,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,133,2019,4,19,Offline,0,0,0,124,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,83,2018,12,26,Online,0,0,0,105.61,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 1,121,2018,7,6,Offline,0,0,0,96.9,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,2018,10,18,Online,0,0,0,133.44,3,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,0,2018,9,11,Online,0,0,0,85.03,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,2018,4,30,Online,0,0,0,140.4,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,31,2019,7,9,Online,0,0,0,160,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,88,2019,5,17,Online,0,0,0,117,0,Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 1,219,2019,7,14,Online,0,0,0,99.1,5,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,69,2019,4,6,Corporate,0,0,0,85,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,30,2018,11,26,Online,0,0,0,88,0,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90,2,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,10,20,Online,0,0,0,94.5,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,115,1,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,Offline,0,0,0,96,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,163,2019,6,23,Online,0,0,0,130.5,2,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,1,2017,8,10,Online,0,0,0,96,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,54,2019,3,22,Online,1,0,3,78.31,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,Corporate,0,0,0,67,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,72,2019,3,24,Online,0,0,0,79.2,0,Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Offline,0,0,0,85,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,126,2019,7,23,Online,0,0,0,135.33,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,106,2019,8,19,Online,0,0,0,125,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,11,2019,4,14,Online,0,0,0,138.33,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,130,2018,5,22,Online,0,0,0,94.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,254,2019,5,12,Online,0,0,0,139.5,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,2018,4,28,Online,0,0,0,114.3,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,182,2019,4,30,Online,0,0,0,90.09,1,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,122,2019,5,23,Online,0,0,0,126,0,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,139,2019,4,12,Online,0,0,0,141,2,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,5,19,Aviation,0,0,0,110,0,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,195,2019,8,16,Online,0,0,0,235,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,2017,11,6,Online,0,0,0,37.33,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82,0,Not_Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 4,120,2019,8,16,Online,0,0,0,193,2,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,129,2019,7,31,Offline,0,0,0,116.1,0,Not_Canceled
2,1,2,4,Meal Plan 1,0,Room_Type 1,173,2019,8,17,Online,0,0,0,137.85,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,2017,9,19,Online,0,0,0,177.5,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,2018,11,13,Online,0,0,0,87.5,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 5,76,2019,3,22,Online,0,0,0,117.3,0,Canceled
0,2,0,3,Meal Plan 1,0,Room_Type 2,56,2018,12,7,Online,0,0,0,82.44,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2019,8,12,Online,0,0,0,130,3,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2,2018,1,9,Online,0,0,0,69.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,85.5,0,Not_Canceled
2,0,0,1,Not Selected,1,Room_Type 1,23,2018,4,27,Online,0,0,0,115,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,6,19,Online,0,0,0,81,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,405,2019,7,4,Offline,0,0,0,91.5,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,247,2018,11,19,Online,0,0,0,63.75,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,2018,7,30,Online,0,0,0,121.8,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,0,0,0,93.6,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,0,0,0,102,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,171,2019,7,14,Online,0,0,0,116.1,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,0,0,0,121.8,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,121,2019,6,27,Online,0,0,0,162,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,102,2019,5,7,Online,0,0,0,135,2,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,41,2018,6,27,Online,0,0,0,98.1,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,Offline,0,0,0,60,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,75,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled
2,0,2,6,Meal Plan 1,0,Room_Type 1,182,2019,3,11,Corporate,0,0,0,90,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,12,29,Online,0,0,0,125.8,2,Not_Canceled
3,0,4,10,Meal Plan 1,0,Room_Type 4,206,2019,8,17,Online,0,0,0,163.22,0,Canceled
1,0,2,5,Not Selected,0,Room_Type 1,124,2018,5,30,Online,0,0,0,87.95,0,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Online,0,0,0,106,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,16,Online,0,0,0,136.67,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,Offline,0,0,0,60,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,15,2019,1,16,Online,0,0,0,91.67,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 4,20,2019,5,14,Corporate,0,0,0,110,0,Canceled
2,0,2,5,Meal Plan 2,0,Room_Type 1,28,2019,1,26,Online,0,0,0,95.98,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,13,2018,6,13,Online,0,0,0,89,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,28,Online,0,0,0,94.5,1,Not_Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 4,12,2019,1,17,Online,0,0,0,98.36,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,2018,12,26,Online,0,0,0,93.6,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,80,2019,4,1,Offline,0,0,0,100.1,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,4,20,Online,0,0,0,120.6,0,Canceled
